Australian_Airport,International,Australian_lon,Australian_lat,International_lon,International_lat
Argentina,AMRO,-76.41,38.87,-58.38,-34.6
Bolivia (Plurinational State of),AMRO,-76.41,38.87,-68.13,-16.48
Chile,AMRO,-76.41,38.87,-70.59,-33.4
Colombia,AMRO,-76.41,38.87,-74.09,4.58
Cuba,AMRO,-76.41,38.87,-82.35,23.05
Dominican Republic,AMRO,-76.41,38.87,-69.87,18.43
Ecuador,AMRO,-76.41,38.87,-78.54,-0.21
El Salvador,AMRO,-76.41,38.87,-89.24,13.67
Guatemala,AMRO,-76.41,38.87,-90.55,14.62
Haiti,AMRO,-76.41,38.87,-72.28,18.52
Honduras,AMRO,-76.41,38.87,-87.2,14.03
Mexico,AMRO,-76.41,38.87,-99.17,19.41
Nicaragua,AMRO,-76.41,38.87,-86.27,12.13
Paraguay,AMRO,-76.41,38.87,-57.51,-25.28
Peru,AMRO,-76.41,38.87,-77.01,-12.07
Uruguay,AMRO,-76.41,38.87,-56.26,-34.89
Barbados and the Eastern Caribbean Countries,AMRO,-76.41,38.87,-59.58,13.11
Brazil,AMRO,-76.41,38.87,-47.93,-15.78
Costa Rica,AMRO,-76.41,38.87,-84.04,9.99
Panama,AMRO,-76.41,38.87,-79.44,9.06
