日期,报告确诊病例的国家数量,推特,脸书,微博
2020/1/4,2,0,0,0
2020/1/5,2,7,0,0
2020/1/6,2,0,0,0
2020/1/7,2,0,1,0
2020/1/8,2,0,0,1
2020/1/9,2,0,0,1
2020/1/10,2,6,1,0
2020/1/11,3,16,0,0
2020/1/12,3,6,0,3
2020/1/13,4,12,0,1
2020/1/14,5,7,1,1
2020/1/15,5,10,0,0
2020/1/16,5,8,1,0
2020/1/17,5,6,0,0
2020/1/18,5,15,1,0
2020/1/19,6,2,0,3
2020/1/20,7,9,0,4
2020/1/21,7,2,3,3
2020/1/22,7,20,1,0
2020/1/23,8,21,1,4
2020/1/24,11,28,2,4
2020/1/25,13,0,0,0
2020/1/26,14,2,1,0
2020/1/27,16,15,2,2
2020/1/28,17,5,1,5
2020/1/29,19,12,2,11
2020/1/30,20,9,1,1
2020/1/31,23,34,1,9
