Australian_Airport,International,Australian_lon,Australian_lat,International_lon,International_lat
Albania,EURO,12.58,55.7,19.81,41.37
Austria,EURO,12.58,55.7,16.43,48.24
Azerbaijan,EURO,12.58,55.7,49.95,40.41
Bosnia and Herzegovina,EURO,12.58,55.7,18.5,43.83
North Macedonia,EURO,12.58,55.7,21.51,42
Poland（欧盟国家）,EURO,12.58,55.7,21.08,52.28
Turkey,EURO,12.58,55.7,32.79,39.91
Ukraine,EURO,12.58,55.7,30.53,50.38
WHO EU,EURO,12.58,55.7,4.47,50.82
Armenia,EURO,12.58,55.7,44.47,40.18
Georgia,EURO,12.58,55.7,44.8,41.68
Hungary(欧盟国家）,EURO,12.58,55.7,19.14,47.45
Kazakhstan,EURO,12.58,55.7,71.34,51.17
Republic of Moldova,EURO,12.58,55.7,28.86,47.05
Serbia,EURO,12.58,55.7,20.54,44.72
Tajikistan,EURO,12.58,55.7,68.79,38.6
Uzbekistan,EURO,12.58,55.7,69.3,41.24
