name,Mname,Region,lng,lat,Facebook,Ffollowers,population,粉丝数/人口数,Fadius,Fdate,endate,Fdays,粉丝数/人口数（百分数）,Fnote
阿尔及利亚,Algeria,AFRO,3.08,36.71,1,2.6,43851,0.00006,0.06,2020/3/4,2022/5/20,807,0.01%,"阿尔及利亚
脸书账号创建于：2020/3/4
粉丝数/人口数:0.01%"
贝宁,Benin,AFRO,2.66,6.54,1,4.1,12123,0.00034,0.34,2020/7/10,2022/5/20,679,0.03%,"贝宁
脸书账号创建于：2020/7/10
粉丝数/人口数:0.03%"
博茨瓦纳,Botswana,AFRO,26.03,-24.69,1,3.1,2352,0.00132,1.32,2020/12/16,2022/5/20,520,0.13%,"博茨瓦纳
脸书账号创建于：2020/12/16
粉丝数/人口数:0.13%"
布基纳法索,Burkina Faso,AFRO,-1.53,12.37,1,4,20903,0.00019,0.19,2020/5/13,2022/5/20,737,0.02%,"布基纳法索
脸书账号创建于：2020/5/13
粉丝数/人口数:0.02%"
佛得角,Cabo Verde,AFRO,-23.54,14.95,1,4.6,556,0.00827,8.27,2016/2/1,2022/5/20,2300,0.83%,"佛得角
脸书账号创建于：2016/2/1
粉丝数/人口数:0.83%"
喀麦隆,Cameroon,AFRO,11.55,3.89,1,32,26546,0.00121,1.21,2018/4/9,2022/5/20,1502,0.12%,"喀麦隆
脸书账号创建于：2018/4/9
粉丝数/人口数:0.12%"
中非共和国,Central African Republic,AFRO,18.56,4.37,1,0.1,4830,0.00002,0.02,2021/7/19,2022/5/20,305,0.00%,"中非共和国
脸书账号创建于：2021/7/19
粉丝数/人口数:0.00%"
乍得,Chad,AFRO,15.08,12.17,1,3.8,16426,0.00023,0.23,2022/1/26,2022/5/20,114,0.02%,"乍得
脸书账号创建于：2022/1/26
粉丝数/人口数:0.02%"
科摩罗,Comoros,AFRO,43.31,-11.75,1,3.2,870,0.00368,3.68,2020/5/6,2022/5/20,744,0.37%,"科摩罗
脸书账号创建于：2020/5/6
粉丝数/人口数:0.37%"
刚果,Congo,AFRO,15.2,-4.24,1,39,5518,0.00707,7.07,2017/6/12,2022/5/20,1803,0.71%,"刚果
脸书账号创建于：2017/6/12
粉丝数/人口数:0.71%"
刚果民主共和国,Democratic Republic of the Congo,AFRO,15.31,-4.43,1,9.4,89561,0.0001,0.1,2020/10/7,2022/5/20,590,0.01%,"刚果民主共和国
脸书账号创建于：2020/10/7
粉丝数/人口数:0.01%"
埃塞俄比亚,Ethiopia,AFRO,38.74,9.02,1,195,114964,0.0017,1.7,2014/11/3,2022/5/20,2755,0.17%,"埃塞俄比亚
脸书账号创建于：2014/11/3
粉丝数/人口数:0.17%"
加蓬,Gabon,AFRO,9.55,0.4,1,14,2226,0.00629,6.29,2019/3/14,2022/5/20,1163,0.63%,"加蓬
脸书账号创建于：2019/3/14
粉丝数/人口数:0.63%"
加纳,Ghana,AFRO,-0.2,5.53,1,162,31073,0.00521,5.21,2014/7/18,2022/5/20,2863,0.52%,"加纳
脸书账号创建于：2014/7/18
粉丝数/人口数:0.52%"
几内亚,Guinea,AFRO,-13.67,9.52,1,4.1,13133,0.00031,0.31,2020/4/24,2022/5/20,756,0.03%,"几内亚
脸书账号创建于：2020/4/24
粉丝数/人口数:0.03%"
几内亚比绍,Guinea-Bissau,AFRO,-15.62,11.89,1,2.7,1968,0.00137,1.37,2020/4/14,2022/5/20,766,0.14%,"几内亚比绍
脸书账号创建于：2020/4/14
粉丝数/人口数:0.14%"
肯尼亚,Kenya,AFRO,36.82,-1.28,1,1,53771,0.00002,0.02,2020/8/18,2022/5/20,640,0.00%,"肯尼亚
脸书账号创建于：2020/8/18
粉丝数/人口数:0.00%"
马达加斯加,Madagascar,AFRO,47.53,-18.9,1,156.3,27691,0.00564,5.64,2016/5/4,2022/5/20,2207,0.56%,"马达加斯加
脸书账号创建于：2016/5/4
粉丝数/人口数:0.56%"
马拉维,Malawi,AFRO,33.77,-13.99,1,52,19130,0.00272,2.72,2015/10/12,2022/5/20,2412,0.27%,"马拉维
脸书账号创建于：2015/10/12
粉丝数/人口数:0.27%"
马里,Mali,AFRO,-8,12.64,1,6.8,20251,0.00034,0.34,2016/11/11,2022/5/20,2016,0.03%,"马里
脸书账号创建于：2016/11/11
粉丝数/人口数:0.03%"
毛里塔尼亚,Mauritania,AFRO,-15.95,18.06,1,31.9,4650,0.00686,6.86,2019/6/12,2022/5/20,1073,0.69%,"毛里塔尼亚
脸书账号创建于：2019/6/12
粉丝数/人口数:0.69%"
莫桑比克,Mozambique,AFRO,32.63,-25.98,1,68,31255,0.00218,2.18,2018/6/7,2022/5/20,1443,0.22%,"莫桑比克
脸书账号创建于：2018/6/7
粉丝数/人口数:0.22%"
纳米比亚,Namibia,AFRO,17.05,-22.61,1,57,2541,0.02243,22.43,2014/4/30,2022/5/20,2942,2.24%,"纳米比亚
脸书账号创建于：2014/4/30
粉丝数/人口数:2.24%"
尼日尔,Niger,AFRO,2.11,13.52,1,17.5,24207,0.00072,0.72,2013/5/2,2022/5/20,3305,0.07%,"尼日尔
脸书账号创建于：2013/5/2
粉丝数/人口数:0.07%"
尼日利亚,Nigeria,AFRO,7.17,9.21,1,658.7,206140,0.0032,3.2,2017/3/29,2022/5/20,1878,0.32%,"尼日利亚
脸书账号创建于：2017/3/29
粉丝数/人口数:0.32%"
卢旺达,Rwanda,AFRO,30.09,-1.96,1,34.1,12952,0.00263,2.63,2014/5/19,2022/5/20,2923,0.26%,"卢旺达
脸书账号创建于：2014/5/19
粉丝数/人口数:0.26%"
圣多美和普林西比,Sao Tome and Principe,AFRO,6.75,0.35,1,2.8,219,0.01279,12.79,2020/6/2,2022/5/20,717,1.28%,"圣多美和普林西比
脸书账号创建于：2020/6/2
粉丝数/人口数:1.28%"
塞内加尔,Senegal,AFRO,-17.45,14.7,1,2,16744,0.00012,0.12,2020/4/9,2022/5/20,771,0.01%,"塞内加尔
脸书账号创建于：2020/4/9
粉丝数/人口数:0.01%"
塞舌尔,Seychelles,AFRO,55.42,-4.66,1,5.1,98,0.05204,52.04,2016/3/22,2022/5/20,2250,5.20%,"塞舌尔
脸书账号创建于：2016/3/22
粉丝数/人口数:5.20%"
塞拉利昂,Sierra Leone,AFRO,-13.2,8.44,1,36,7977,0.00451,4.51,2015/6/11,2022/5/20,2535,0.45%,"塞拉利昂
脸书账号创建于：2015/6/11
粉丝数/人口数:0.45%"
南苏丹,South Sudan,AFRO,31.62,4.84,1,4.9,11194,0.00044,0.44,2011/12/20,2022/5/20,3804,0.04%,"南苏丹
脸书账号创建于：2011/12/20
粉丝数/人口数:0.04%"
多哥,Togo,AFRO,1.24,6.15,1,24,8279,0.0029,2.9,2019/2/11,2022/5/20,1194,0.29%,"多哥
脸书账号创建于：2019/2/11
粉丝数/人口数:0.29%"
乌干达,Uganda,AFRO,32.6,0.32,1,79,45741,0.00173,1.73,2014/7/1,2022/5/20,2880,0.17%,"乌干达
脸书账号创建于：2014/7/1
粉丝数/人口数:0.17%"
坦桑尼亚联合共和国,United Republic of Tanzania,AFRO,35.75,-6.16,1,0.4,59734,0.00001,0.01,2020/8/18,2022/5/20,640,0.00%,"坦桑尼亚联合共和国
脸书账号创建于：2020/8/18
粉丝数/人口数:0.00%"
赞比亚,Zambia,AFRO,28.31,-15.4,1,3.1,18384,0.00017,0.17,2020/10/5,2022/5/20,592,0.02%,"赞比亚
脸书账号创建于：2020/10/5
粉丝数/人口数:0.02%"
津巴布韦,Zimbabwe,AFRO,31.03,-17.8,1,1.7,14863,0.00011,0.11,2020/9/4,2022/5/20,623,0.01%,"津巴布韦
脸书账号创建于：2020/9/4
粉丝数/人口数:0.01%"
蒙古,Mongolia,WPRO,106.95,48.03,1,57,3278,0.01739,17.39,2014/7/25,2022/5/20,2856,1.74%,"蒙古
脸书账号创建于：2014/7/25
粉丝数/人口数:1.74%"
巴布亚新几内亚,Papua New Guinea,WPRO,147.2,-9.45,1,69,8947,0.00771,7.71,2015/4/9,2022/5/20,2598,0.77%,"巴布亚新几内亚
脸书账号创建于：2015/4/9
粉丝数/人口数:0.77%"
菲律宾,Philippines,WPRO,120.98,14.59,1,1776,109581,0.01621,16.21,2013/11/26,2022/5/20,3097,1.62%,"菲律宾
脸书账号创建于：2013/11/26
粉丝数/人口数:1.62%"
所罗门群岛,Solomon Islands,WPRO,159.98,-9.53,1,10.8,687,0.01572,15.72,2020/3/7,2022/5/20,804,1.57%,"所罗门群岛
脸书账号创建于：2020/3/7
粉丝数/人口数:1.57%"
越南,Viet Nam,WPRO,105.8,21.01,1,313,97339,0.00322,3.22,2015/10/15,2022/5/20,2409,0.32%,"越南
脸书账号创建于：2015/10/15
粉丝数/人口数:0.32%"
孟加拉国,Bangladesh,SEARO,90.44,23.8,1,28,164689,0.00017,0.17,2020/3/18,2022/5/20,793,0.02%,"孟加拉国
脸书账号创建于：2020/3/18
粉丝数/人口数:0.02%"
不丹,Bhutan,SEARO,89.54,27.48,1,13.5,772,0.01749,17.49,2017/5/26,2022/5/20,1820,1.75%,"不丹
脸书账号创建于：2017/5/26
粉丝数/人口数:1.75%"
马尔代夫,Maldives,SEARO,73.46,4.14,1,1.7,541,0.00314,3.14,2018/2/8,2022/5/20,1562,0.31%,"马尔代夫
脸书账号创建于：2018/2/8
粉丝数/人口数:0.31%"
缅甸,Myanmar,SEARO,96.1,19.75,1,65.6,54410,0.00121,1.21,2019/5/21,2022/5/20,1095,0.12%,"缅甸
脸书账号创建于：2019/5/21
粉丝数/人口数:0.12%"
尼泊尔,Nepal,SEARO,85.33,27.71,1,129.9,29137,0.00446,4.46,2020/4/20,2022/5/20,760,0.45%,"尼泊尔
脸书账号创建于：2020/4/20
粉丝数/人口数:0.45%"
斯里兰卡,Sri Lanka,SEARO,79.84,6.93,1,48,21413,0.00224,2.24,2018/1/10,2022/5/20,1591,0.22%,"斯里兰卡
脸书账号创建于：2018/1/10
粉丝数/人口数:0.22%"
泰国,Thailand,SEARO,100.58,13.72,1,86,69800,0.00123,1.23,2011/12/20,2022/5/20,3804,0.12%,"泰国
脸书账号创建于：2011/12/20
粉丝数/人口数:0.12%"
东帝汶,Timor-Leste,SEARO,125.6,-8.65,1,220.5,1318,0.1673,167.3,2017/11/16,2022/5/20,1646,16.73%,"东帝汶
脸书账号创建于：2017/11/16
粉丝数/人口数:16.73%"
阿根廷,Argentina,AMRO,-58.38,-34.6,1,494.9,45196,0.01095,10.95,2011/5/5,2022/5/20,4033,1.10%,"阿根廷
脸书账号创建于：2011/5/5
粉丝数/人口数:1.10%"
玻利维亚（多民族国）,Bolivia (Plurinational State of),AMRO,-68.13,-16.48,1,98,11673,0.0084,8.4,2010/1/28,2022/5/20,4495,0.84%,"玻利维亚（多民族国）
脸书账号创建于：2010/1/28
粉丝数/人口数:0.84%"
巴西,Brazil,AMRO,-47.93,-15.78,1,1000,212559,0.0047,4.7,2013/5/10,2022/5/20,3297,0.47%,"巴西
脸书账号创建于：2013/5/10
粉丝数/人口数:0.47%"
智利,Chile,AMRO,-70.59,-33.4,1,214.2,19116,0.01121,11.21,2011/3/31,2022/5/20,4068,1.12%,"智利
脸书账号创建于：2011/3/31
粉丝数/人口数:1.12%"
哥伦比亚,Colombia,AMRO,-74.09,4.58,1,318,50883,0.00625,6.25,2010/2/13,2022/5/20,4479,0.63%,"哥伦比亚
脸书账号创建于：2010/2/13
粉丝数/人口数:0.63%"
哥斯达黎加,Costa Rica,AMRO,-84.04,9.99,1,60.8,5094,0.01194,11.94,2016/4/24,2022/5/20,2217,1.19%,"哥斯达黎加
脸书账号创建于：2016/4/24
粉丝数/人口数:1.19%"
古巴,Cuba,AMRO,-82.35,23.05,1,15.6,11327,0.00138,1.38,2014/6/12,2022/5/20,2899,0.14%,"古巴
脸书账号创建于：2014/6/12
粉丝数/人口数:0.14%"
厄瓜多尔,Ecuador,AMRO,-78.54,-0.21,1,117.9,17643,0.00668,6.68,2012/5/18,2022/5/20,3654,0.67%,"厄瓜多尔
脸书账号创建于：2012/5/18
粉丝数/人口数:0.67%"
萨尔瓦多,El Salvador,AMRO,-89.24,13.67,1,112.7,6486,0.01738,17.38,2013/3/11,2022/5/20,3357,1.74%,"萨尔瓦多
脸书账号创建于：2013/3/11
粉丝数/人口数:1.74%"
危地马拉,Guatemala,AMRO,-90.55,14.62,1,165.1,17916,0.00922,9.22,2011/9/6,2022/5/20,3909,0.92%,"危地马拉
脸书账号创建于：2011/9/6
粉丝数/人口数:0.92%"
海地,Haiti,AMRO,-72.28,18.52,1,5.5,11403,0.00048,0.48,2013/6/7,2022/5/20,3269,0.05%,"海地
脸书账号创建于：2013/6/7
粉丝数/人口数:0.05%"
墨西哥,Mexico,AMRO,-99.17,19.41,1,133,128933,0.00103,1.03,2017/4/21,2022/5/20,1855,0.10%,"墨西哥
脸书账号创建于：2017/4/21
粉丝数/人口数:0.10%"
尼加拉瓜,Nicaragua,AMRO,-86.27,12.13,1,103.7,6625,0.01565,15.65,2014/12/15,2022/5/20,2713,1.57%,"尼加拉瓜
脸书账号创建于：2014/12/15
粉丝数/人口数:1.57%"
巴拿马,Panama,AMRO,-79.44,9.06,1,4.8,4315,0.00111,1.11,2013/9/25,2022/5/20,3159,0.11%,"巴拿马
脸书账号创建于：2013/9/25
粉丝数/人口数:0.11%"
巴拉圭,Paraguay,AMRO,-57.51,-25.28,1,128.3,7133,0.01799,17.99,2011/4/20,2022/5/20,4048,1.80%,"巴拉圭
脸书账号创建于：2011/4/20
粉丝数/人口数:1.80%"
秘鲁,Peru,AMRO,-77.01,-12.07,1,342,32972,0.01037,10.37,2010/5/6,2022/5/20,4397,1.04%,"秘鲁
脸书账号创建于：2010/5/6
粉丝数/人口数:1.04%"
乌拉圭,Uruguay,AMRO,-56.26,-34.89,1,49,3474,0.0141,14.1,2011/4/27,2022/5/20,4041,1.41%,"乌拉圭
脸书账号创建于：2011/4/27
粉丝数/人口数:1.41%"
加勒比海国家,Barbados and the Eastern Caribbean Countries,AMRO,-59.58,13.11,1,32,918,0.03486,34.86,2010/10/15,2022/5/20,4235,3.49%,"加勒比海国家
脸书账号创建于：2010/10/15
粉丝数/人口数:3.49%"
亚美尼亚,Armenia,EURO,44.47,40.18,1,8.2,2963,0.00277,2.77,2016/12/6,2022/5/20,1991,0.28%,"亚美尼亚
脸书账号创建于：2016/12/6
粉丝数/人口数:0.28%"
阿塞拜疆,Azerbaijan,EURO,49.95,40.41,1,7.9,10139,0.00078,0.78,2018/9/7,2022/5/20,1351,0.08%,"阿塞拜疆
脸书账号创建于：2018/9/7
粉丝数/人口数:0.08%"
波斯尼亚和黑塞哥维那,Bosnia and Herzegovina,EURO,18.5,43.83,1,13,3281,0.00396,3.96,2016/1/29,2022/5/20,2303,0.40%,"波斯尼亚和黑塞哥维那
脸书账号创建于：2016/1/29
粉丝数/人口数:0.40%"
格鲁吉亚,Georgia,EURO,44.8,41.68,1,6.8,3989,0.0017,1.7,2020/12/11,2022/5/20,525,0.17%,"格鲁吉亚
脸书账号创建于：2020/12/11
粉丝数/人口数:0.17%"
匈牙利,Hungary(欧盟国家）,EURO,19.14,47.45,1,7.4,9660,0.00077,0.77,2011/11/21,2022/5/20,3833,0.08%,"匈牙利
脸书账号创建于：2011/11/21
粉丝数/人口数:0.08%"
哈萨克斯坦,Kazakhstan,EURO,71.34,51.17,1,1.6,18777,0.00009,0.09,2020/2/6,2022/5/20,834,0.01%,"哈萨克斯坦
脸书账号创建于：2020/2/6
粉丝数/人口数:0.01%"
北马其顿,North Macedonia,EURO,21.51,42,1,4.3,2083,0.00206,2.06,2017/5/24,2022/5/20,1822,0.21%,"北马其顿
脸书账号创建于：2017/5/24
粉丝数/人口数:0.21%"
波兰,Poland（欧盟国家）,EURO,21.08,52.28,1,1,37847,0.00003,0.03,2020/9/22,2022/5/20,605,0.00%,"波兰
脸书账号创建于：2020/9/22
粉丝数/人口数:0.00%"
摩尔多瓦共和国,Republic of Moldova,EURO,28.86,47.05,1,16.7,4034,0.00414,4.14,2016/2/11,2022/5/20,2290,0.41%,"摩尔多瓦共和国
脸书账号创建于：2016/2/11
粉丝数/人口数:0.41%"
塞尔维亚,Serbia,EURO,20.54,44.72,1,1.9,8737,0.00022,0.22,2014/5/20,2022/5/20,2922,0.02%,"塞尔维亚
脸书账号创建于：2014/5/20
粉丝数/人口数:0.02%"
