name,Mname,Region,lng,lat,Twitter,Tfollowers,population,粉丝数/人口数,粉丝数/人口数(百分比）,Tadius,Tdate,endate,Tdays,Tnote
博茨瓦纳,Botswana,AFRO,26.03,-24.69,1,1.7,2352,0.000723,0.07%,0.723,2020/3/1,2022/5/20,810,"博茨瓦纳
推特账号创建于：2020/3/1
粉丝数/人口数：0.07%"
中非共和国,Central African Republic,AFRO,18.56,4.37,1,5.7,4830,0.00118,0.12%,1.18,2016/11/1,2022/5/20,2026,"中非共和国
推特账号创建于：2016/11/1
粉丝数/人口数：0.12%"
科摩罗,Comoros,AFRO,43.31,-11.75,1,3.2,870,0.003678,0.37%,3.678,2019/5/1,2022/5/20,1115,"科摩罗
推特账号创建于：2019/5/1
粉丝数/人口数：0.37%"
刚果民主共和国,Democratic Republic of the Congo,AFRO,15.31,-4.43,1,83.5,89561,0.000932,0.09%,0.932,2019/4/1,2022/5/20,1145,"刚果民主共和国
推特账号创建于：2019/4/1
粉丝数/人口数：0.09%"
埃塞俄比亚,Ethiopia,AFRO,38.74,9.02,1,88.7,114964,0.000772,0.08%,0.772,2014/11/1,2022/5/20,2757,"埃塞俄比亚
推特账号创建于：2014/11/1
粉丝数/人口数：0.08%"
加纳,Ghana,AFRO,-0.2,5.53,1,11,31073,0.000354,0.04%,0.354,2014/10/1,2022/5/20,2788,"加纳
推特账号创建于：2014/10/1
粉丝数/人口数：0.04%"
肯尼亚,Kenya,AFRO,36.82,-1.28,1,45,53771,0.000837,0.08%,0.837,2017/1/1,2022/5/20,1965,"肯尼亚
推特账号创建于：2017/1/1
粉丝数/人口数：0.08%"
马达加斯加,Madagascar,AFRO,47.53,-18.9,1,7.2,27691,0.00026,0.03%,0.26,2017/1/19,2022/5/20,1947,"马达加斯加
推特账号创建于：2017/1/19
粉丝数/人口数：0.03%"
纳米比亚,Namibia,AFRO,17.05,-22.61,1,5.8,2541,0.002283,0.23%,2.283,2014/4/1,2022/5/20,2971,"纳米比亚
推特账号创建于：2014/4/1
粉丝数/人口数：0.23%"
尼日尔,Niger,AFRO,2.11,13.52,1,6.6,24207,0.000273,0.03%,0.273,2013/5/1,2022/5/20,3306,"尼日尔
推特账号创建于：2013/5/1
粉丝数/人口数：0.03%"
尼日利亚,Nigeria,AFRO,7.17,9.21,1,335.5,206140,0.001628,0.16%,1.628,2017/3/1,2022/5/20,1906,"尼日利亚
推特账号创建于：2017/3/1
粉丝数/人口数：0.16%"
卢旺达,Rwanda,AFRO,30.09,-1.96,1,4.9,12952,0.000378,0.04%,0.378,2014/3/1,2022/5/20,3002,"卢旺达
推特账号创建于：2014/3/1
粉丝数/人口数：0.04%"
塞拉利昂,Sierra Leone,AFRO,-13.2,8.44,1,20.1,7977,0.00252,0.25%,2.52,2015/7/1,2022/5/20,2515,"塞拉利昂
推特账号创建于：2015/7/1
粉丝数/人口数：0.25%"
南苏丹,South Sudan,AFRO,31.62,4.84,1,9.9,11194,0.000884,0.09%,0.884,2015/5/1,2022/5/20,2576,"南苏丹
推特账号创建于：2015/5/1
粉丝数/人口数：0.09%"
乌干达,Uganda,AFRO,32.6,0.32,1,106,45741,0.002317,0.23%,2.317,2014/7/1,2022/5/20,2880,"乌干达
推特账号创建于：2014/7/1
粉丝数/人口数：0.23%"
文莱达鲁萨兰国,Brunei Darussalam,WPRO,114.85,4.88,1,32.7,437,0.074828,7.48%,74.828,2018/3/7,2022/5/20,1535,"文莱达鲁萨兰国
推特账号创建于：2018/3/7
粉丝数/人口数：7.48%"
马来西亚,Malaysia,WPRO,101.66,3.07,1,32.7,32366,0.00101,0.10%,1.01,2018/3/14,2022/5/20,1528,"马来西亚
推特账号创建于：2018/3/14
粉丝数/人口数：0.10%"
蒙古,Mongolia,WPRO,106.95,48.03,1,1.9,3278,0.00058,0.06%,0.58,2019/2/1,2022/5/20,1204,"蒙古
推特账号创建于：2019/2/1
粉丝数/人口数：0.06%"
菲律宾,Philippines,WPRO,120.98,14.59,1,96.3,109581,0.000879,0.09%,0.879,2013/11/1,2022/5/20,3122,"菲律宾
推特账号创建于：2013/11/1
粉丝数/人口数：0.09%"
新加坡,Singapore,WPRO,103.86,1.29,1,32.7,5850,0.00559,0.56%,5.59,2018/3/22,2022/5/20,1520,"新加坡
推特账号创建于：2018/3/22
粉丝数/人口数：0.56%"
印度尼西亚,Indonesia,SEARO,106.77,-6.18,1,86.1,273524,0.000315,0.03%,0.315,2010/12/1,2022/5/20,4188,"印度尼西亚
推特账号创建于：2010/12/1
粉丝数/人口数：0.03%"
马尔代夫,Maldives,SEARO,73.46,4.14,1,9.5,541,0.01756,1.76%,17.56,2013/5/19,2022/5/20,3288,"马尔代夫
推特账号创建于：2013/5/19
粉丝数/人口数：1.76%"
斯里兰卡,Sri Lanka,SEARO,79.84,6.93,1,12.9,21413,0.000602,0.06%,0.602,2017/12/1,2022/5/20,1631,"斯里兰卡
推特账号创建于：2017/12/1
粉丝数/人口数：0.06%"
泰国,Thailand,SEARO,100.58,13.72,1,74.4,69800,0.001066,0.11%,1.066,2012/1/1,2022/5/20,3792,"泰国
推特账号创建于：2012/1/1
粉丝数/人口数：0.11%"
阿根廷,Argentina,AMRO,-58.38,-34.6,1,47.4,45196,0.001049,0.10%,1.049,2013/1/1,2022/5/20,3426,"阿根廷
推特账号创建于：2013/1/1
粉丝数/人口数：0.10%"
玻利维亚（多民族国）,Bolivia (Plurinational State of),AMRO,-68.13,-16.48,1,7.2,11673,0.000617,0.06%,0.617,2011/11/1,2022/5/20,3853,"玻利维亚（多民族国）
推特账号创建于：2011/11/1
粉丝数/人口数：0.06%"
智利,Chile,AMRO,-70.59,-33.4,1,27.5,19116,0.001439,0.14%,1.439,2013/4/1,2022/5/20,3336,"智利
推特账号创建于：2013/4/1
粉丝数/人口数：0.14%"
哥伦比亚,Colombia,AMRO,-74.09,4.58,1,73.5,50883,0.001444,0.14%,1.444,2010/2/1,2022/5/20,4491,"哥伦比亚
推特账号创建于：2010/2/1
粉丝数/人口数：0.14%"
古巴,Cuba,AMRO,-82.35,23.05,1,2.4,11327,0.000212,0.02%,0.212,2018/4/1,2022/5/20,1510,"古巴
推特账号创建于：2018/4/1
粉丝数/人口数：0.02%"
多米尼加共和国,Dominican Republic,AMRO,-69.87,18.43,1,4.5,10848,0.000415,0.04%,0.415,2019/9/1,2022/5/20,992,"多米尼加共和国
推特账号创建于：2019/9/1
粉丝数/人口数：0.04%"
