Region,PHEIC,宣布PHEIC时间,推文数量
非洲区域,NO.2,2014/5/5,10
非洲区域,NO.3,2014/8/8,84
非洲区域,NO.4,2016/2/1,0
非洲区域,NO.5,2019/7/17,199
非洲区域,NO.6,2020/1/30,3
美洲区域,NO.2,2014/5/5,9
美洲区域,NO.3,2014/8/8,14
美洲区域,NO.4,2016/2/1,107
美洲区域,NO.5,2019/7/17,0
美洲区域,NO.6,2020/1/30,7
东南亚区域,NO.2,2014/5/5,0
东南亚区域,NO.3,2014/8/8,0
东南亚区域,NO.4,2016/2/1,0
东南亚区域,NO.5,2019/7/17,0
东南亚区域,NO.6,2020/1/30,6
欧洲区域,NO.2,2014/5/5,5
欧洲区域,NO.3,2014/8/8,8
欧洲区域,NO.4,2016/2/1,7
欧洲区域,NO.5,2019/7/17,1
欧洲区域,NO.6,2020/1/30,5
东地中海区域,NO.2,2014/5/5,14
东地中海区域,NO.3,2014/8/8,0
东地中海区域,NO.4,2016/2/1,7
东地中海区域,NO.5,2019/7/17,5
东地中海区域,NO.6,2020/1/30,32
西太平洋区域,NO.2,2014/5/5,
西太平洋区域,NO.3,2014/8/8,
西太平洋区域,NO.4,2016/2/1,1
西太平洋区域,NO.5,2019/7/17,3
西太平洋区域,NO.6,2020/1/30,75
