name,Mname,Region,lng,lat,country,Date_reported,followers,radius,posts
博茨瓦纳,Botswana,AFRO,26.03,-24.69,1,2020/3/1,1.7,0.17,16
中非共和国,Central African Republic,AFRO,18.56,4.37,1,2016/11/1,5.7,0.57,17
科摩罗,Comoros,AFRO,43.31,-11.75,1,2019/5/1,3.2,0.32,18
刚果民主共和国,Democratic Republic of the Congo,AFRO,15.31,-4.43,1,2019/4/1,83.5,8.35,19
埃塞俄比亚,Ethiopia,AFRO,38.74,9.02,1,2014/11/1,88.7,8.87,16
加纳,Ghana,AFRO,-0.2,5.53,1,2014/10/1,11,1.1,17
肯尼亚,Kenya,AFRO,36.82,-1.28,1,2017/1/1,45,4.5,18
马达加斯加,Madagascar,AFRO,47.53,-18.9,1,2017/1/19,7.2,0.72,19
纳米比亚,Namibia,AFRO,17.05,-22.61,1,2014/4/1,5.8,0.58,16
尼日尔,Niger,AFRO,2.11,13.52,1,2013/5/1,6.6,0.66,17
尼日利亚,Nigeria,AFRO,7.17,9.21,1,2017/3/1,335.5,33.55,18
卢旺达,Rwanda,AFRO,30.09,-1.96,1,2014/3/1,4.9,0.49,19
塞拉利昂,Sierra Leone,AFRO,-13.2,8.44,1,2015/7/1,20.1,2.01,18
南苏丹,South Sudan,AFRO,31.62,4.84,1,2015/5/1,9.9,0.99,17
乌干达,Uganda,AFRO,32.6,0.32,1,2014/7/1,106,10.6,16
文莱达鲁萨兰国,Brunei Darussalam,WPRO,114.85,4.88,1,2018/3/7,32.7,3.27,26
马来西亚,Malaysia,WPRO,101.66,3.07,1,2018/3/14,32.7,3.27,27
蒙古,Mongolia,WPRO,106.95,48.03,1,2019/2/1,1.9,0.19,28
菲律宾,Philippines,WPRO,120.98,14.59,1,2013/11/1,96.3,9.63,29
新加坡,Singapore,WPRO,103.86,1.29,1,2018/3/22,32.7,3.27,27
印度尼西亚,Indonesia,SEARO,106.77,-6.18,1,2010/12/1,86.1,8.61,21
马尔代夫,Maldives,SEARO,73.46,4.14,1,2013/5/19,9.5,0.95,23
斯里兰卡,Sri Lanka,SEARO,79.84,6.93,1,2017/12/1,12.9,1.29,24
泰国,Thailand,SEARO,100.58,13.72,1,2012/1/1,74.4,7.44,22
阿根廷,Argentina,AMRO,-58.38,-34.6,1,2013/1/1,47.4,4.74,4
玻利维亚（多民族国）,Bolivia (Plurinational State of),AMRO,-68.13,-16.48,1,2011/11/1,7.2,0.72,2
智利,Chile,AMRO,-70.59,-33.4,1,2013/4/1,27.5,2.75,3
哥伦比亚,Colombia,AMRO,-74.09,4.58,1,2010/2/1,73.5,7.35,4
古巴,Cuba,AMRO,-82.35,23.05,1,2018/4/1,2.4,0.24,2
多米尼加共和国,Dominican Republic,AMRO,-69.87,18.43,1,2019/9/1,4.5,0.45,4
厄瓜多尔,Ecuador,AMRO,-78.54,-0.21,1,2011/10/1,17.3,1.73,2
萨尔瓦多,El Salvador,AMRO,-89.24,13.67,1,2013/3/1,25.5,2.55,3
危地马拉,Guatemala,AMRO,-90.55,14.62,1,2010/7/1,10,1,4
海地,Haiti,AMRO,-72.28,18.52,1,2022/5/1,0.07,0.007,2
洪都拉斯,Honduras,AMRO,-87.2,14.03,1,2010/10/1,21.1,2.11,4
墨西哥,Mexico,AMRO,-99.17,19.41,1,2014/8/1,106.7,10.67,2
尼加拉瓜,Nicaragua,AMRO,-86.27,12.13,1,2014/12/1,3.7,0.37,3
巴拉圭,Paraguay,AMRO,-57.51,-25.28,1,2011/4/1,15.4,1.54,4
秘鲁,Peru,AMRO,-77.01,-12.07,1,2010/5/1,43.2,4.32,2
乌拉圭,Uruguay,AMRO,-56.26,-34.89,1,2013/8/1,18,1.8,4
加勒比海国家,Barbados and the Eastern Caribbean Countries,AMRO,-59.58,13.11,1,2014/10/21,4.3,0.43,2
阿尔巴尼亚,Albania,EURO,19.81,41.37,1,2021/1/1,0.4,0.04,6
奥地利,Austria,EURO,16.43,48.24,1,2015/2/1,13.9,1.39,7
阿塞拜疆,Azerbaijan,EURO,49.95,40.41,1,2019/5/15,1.7,0.17,8
波斯尼亚和黑塞哥维那,Bosnia and Herzegovina,EURO,18.5,43.83,1,2016/1/1,0.6,0.06,9
北马其顿,North Macedonia,EURO,21.51,42,1,2020/3/15,0.6,0.06,6
波兰,Poland（欧盟国家）,EURO,21.08,52.28,1,2020/6/1,0.8,0.08,7
土耳其,Turkey,EURO,32.79,39.91,1,2019/11/1,31.9,3.19,8
乌克兰,Ukraine,EURO,30.53,50.38,1,2015/11/1,6.5,0.65,9
阿富汗,Afghanistan,EMRO,69.17,34.49,1,2011/12/1,76.2,7.62,11
吉布提,Djibouti,EMRO,43.14,11.54,1,2019/11/15,3.7,0.37,12
埃及,Egypt,EMRO,31.3,30.09,1,2016/7/1,223.7,22.37,13
伊拉克,Iraq,EMRO,44.37,33.37,1,2018/4/19,11.2,1.12,14
约旦,Jordan,EMRO,35.98,31.9,1,2012/11/1,19.9,1.99,11
黎巴嫩,Lebanon,EMRO,35.52,33.8,1,2014/3/18,20.9,2.09,12
利比亚,Libya,EMRO,13.19,32.85,1,2017/12/10,15.2,1.52,13
摩洛哥,Morocco,EMRO,-6.86,33.95,1,2019/3/1,24.6,2.46,14
阿曼,Oman,EMRO,58.57,23.54,1,2017/11/1,7.8,0.78,11
巴基斯坦,Pakistan,EMRO,73.01,33.7,1,2017/12/31,73.1,7.31,12
索马里,Somalia,EMRO,45.32,2.08,1,2013/2/1,60.7,6.07,13
苏丹,Sudan,EMRO,32.56,15.56,1,2017/6/1,16.3,1.63,14
阿拉伯叙利亚共和国,Syrian Arab Republic,EMRO,36.29,33.5,1,2018/3/31,13.5,1.35,13
突尼斯,Tunisia,EMRO,10.15,36.79,1,2019/5/31,5.2,0.52,12
也门,Yemen,EMRO,44.19,15.4,1,2015/4/1,168.3,16.83,14
欧盟国家,WHO EU,EURO,4.47,50.82,1,2015/2/8,13.9,1.39,7
