words,count
新型冠状病毒,200
疫情,95
建议,87
终止,50
2019-nCoV,45
肺炎,42
埃博拉,41
寨卡,37
病毒,37
国际,33
抗击,32
驻华代表处,31
总干事,25
感染,24
委员会,24
谭德塞博士,23
公共卫生,22
链接,22
信息,22
突发事件,21
治疗,20
传播,19
国家,19
预防,19
措施,18
关注,17
事件,17
突发,16
发言,16
洗手,16
卫生,15
防护,15
应对,14
全球,13
工作,13
会议,13
网页,12
病例,12
咳嗽,12
健康,11
接触,11
影响,10
提供,10
保护,10
打喷嚏,10
抗生素,10
临床,10
持续,10
前往,10
呼吸道,9
疾病,9
英文,9
患者,9
阅读,9
口罩,9
纸巾,9
情况,9
专家,9
动物,9
条例,8
口,8
鼻,8
合作,8
驻华,7
代表处,7
叮咬,7
识别,7
蚊虫,6
蚊子,6
症状,6
小头症,6
组织,6
控制,6
努力,6
数据,6
春节,6
期间,6
中国政府,6
细菌,6
最新,6
武汉,6
序列,6
遮住,6
密切接触,6
刚果,5
世卫,5
旅行,5
世界,5
急性,5
疫情报告,5
风险,5
开发,5
护理,5
病人,5
人员,5
答疑解惑,5
佩戴,5
宠物,5
肥皂,5
确保,5
尚未,5
流感,5
食品安全,5
生病,5
屈肘,5
未加,5
网站,4
人际,4
西非,4
地方,4
婴儿,4
伊蚊,4
再现,4
贸易,4
防控,4
感谢,4
一线,4
北京,4
地区,4
查阅,4
证据,4
支持,4
方法,4
隔离,4
分享,4
召集,4
发布,4
医务人员,4
全文,4
会上,4
触摸,4
卫生组织,4
研究,4
疑似,4
指南,4
共享,4
MERS,4
呼吸,4
第二次,4
出行,4
清水,4
肉,4
熟食,4
煮熟,4
降低,4
进展,3
病疫情,3
存有,3
基孔,3
黄热病,3
原图,3
怀孕,3
孕妇,3
刚果民主共和国,3
卫生部,3
代表,3
接受,3
交通,3
临时,3
名称,3
做出,3
阻止,3
科学,3
谣言,3
看图,3
干涉,3
疫苗,3
工具,3
经验,3
救援,3
摘取,3
孩子,3
保持良好,3
感到,3
药物,3
之间,3
一种,3
不应,3
确诊,3
平台,3
指导,3
进一步,3
SARS,3
类似,3
时间,3
系统,3
感染者,3
区域,3
今日,3
当局,3
平安,3
快速,3
官网,3
发烧,3
常见问题,3
给出,3
官员,3
牲畜,3
野生动物,3
洗手液,3
感冒,3
蛋类,3
