individual,group,预防举措,value
世卫总部,NO.2-WPV,日常出行,13
美洲,NO.2-WPV,日常出行,1
东南亚,NO.2-WPV,日常出行,0
欧洲,NO.2-WPV,日常出行,0
东地中海,NO.2-WPV,日常出行,0
西太平洋,NO.2-WPV,日常出行,0
Mister 7,NO.2-WPV,日常出行,
Mister 8,NO.2-WPV,日常出行,
Mister 9,NO.2-WPV,日常出行,
非洲,NO.2-WPV,日常出行,0
世卫总部,NO.3-EVD,日常出行,39
非洲,NO.3-EVD,日常出行,1
美洲,NO.3-EVD,日常出行,1
东南亚,NO.3-EVD,日常出行,0
欧洲,NO.3-EVD,日常出行,0
东地中海,NO.3-EVD,日常出行,0
西太平洋,NO.3-EVD,日常出行,0
Mister 18,NO.3-EVD,日常出行,
Mister 19,NO.3-EVD,日常出行,
Mister 20,NO.3-EVD,日常出行,
世卫总部,NO.4-Zika,日常出行,9
非洲,NO.4-Zika,日常出行,0
美洲,NO.4-Zika,日常出行,5
东南亚,NO.4-Zika,日常出行,0
欧洲,NO.4-Zika,日常出行,2
东地中海,NO.4-Zika,日常出行,2
西太平洋,NO.4-Zika,日常出行,2
Mister 28,NO.4-Zika,日常出行,
Mister 29,NO.4-Zika,日常出行,
Mister 30,NO.4-Zika,日常出行,
世卫总部,NO.5-EVD,日常出行,8
非洲,NO.5-EVD,日常出行,4
美洲,NO.5-EVD,日常出行,0
东南亚,NO.5-EVD,日常出行,0
欧洲,NO.5-EVD,日常出行,0
东地中海,NO.5-EVD,日常出行,0
西太平洋,NO.5-EVD,日常出行,0
Mister 38,NO.5-EVD,日常出行,
Mister 39,NO.5-EVD,日常出行,
Mister 40,NO.5-EVD,日常出行,
世卫总部,NO.6-COVID-19,日常出行,43
非洲,NO.6-COVID-19,日常出行,3
美洲,NO.6-COVID-19,日常出行,12
东南亚,NO.6-COVID-19,日常出行,10
欧洲,NO.6-COVID-19,日常出行,11
东地中海,NO.6-COVID-19,日常出行,60
西太平洋,NO.6-COVID-19,日常出行,21
Mister 48,NO.6-COVID-19,日常出行,
Mister 49,NO.6-COVID-19,日常出行,
Mister 50,NO.6-COVID-19,日常出行,
世卫总部,NO.2-WPV,信息沟通,5
美洲,NO.2-WPV,信息沟通,2
东南亚,NO.2-WPV,信息沟通,0
欧洲,NO.2-WPV,信息沟通,0
东地中海,NO.2-WPV,信息沟通,3
西太平洋,NO.2-WPV,信息沟通,0
Mister 7,NO.2-WPV,信息沟通,
Mister 8,NO.2-WPV,信息沟通,
Mister 9,NO.2-WPV,信息沟通,
非洲,NO.2-WPV,信息沟通,0
世卫总部,NO.3-EVD,信息沟通,30
非洲,NO.3-EVD,信息沟通,1
美洲,NO.3-EVD,信息沟通,1
东南亚,NO.3-EVD,信息沟通,0
欧洲,NO.3-EVD,信息沟通,0
东地中海,NO.3-EVD,信息沟通,0
西太平洋,NO.3-EVD,信息沟通,0
