Australian_Airport,International,Australian_lon,Australian_lat,International_lon,International_lat
Botswana,AFRO,15.7,-4.27,26.03,-24.69
Central African Republic,AFRO,15.7,-4.27,18.56,4.37
Comoros,AFRO,15.7,-4.27,43.31,-11.75
Democratic Republic of the Congo,AFRO,15.7,-4.27,15.31,-4.43
Ethiopia,AFRO,15.7,-4.27,38.74,9.02
Ghana,AFRO,15.7,-4.27,-0.2,5.53
Kenya,AFRO,15.7,-4.27,36.82,-1.28
Madagascar,AFRO,15.7,-4.27,47.53,-18.9
Namibia,AFRO,15.7,-4.27,17.05,-22.61
Niger,AFRO,15.7,-4.27,2.11,13.52
Nigeria,AFRO,15.7,-4.27,7.17,9.21
Rwanda,AFRO,15.7,-4.27,30.09,-1.96
Sierra Leone,AFRO,15.7,-4.27,-13.2,8.44
South Sudan,AFRO,15.7,-4.27,31.62,4.84
Uganda,AFRO,15.7,-4.27,32.6,0.32
Algeria,AFRO,15.7,-4.27,3.08,36.71
Benin,AFRO,15.7,-4.27,2.66,6.54
Burkina Faso,AFRO,15.7,-4.27,-1.53,12.37
Cabo Verde,AFRO,15.7,-4.27,-23.54,14.95
Cameroon,AFRO,15.7,-4.27,11.55,3.89
Chad,AFRO,15.7,-4.27,15.08,12.17
Congo,AFRO,15.7,-4.27,15.2,-4.24
Gabon,AFRO,15.7,-4.27,9.55,0.4
Guinea,AFRO,15.7,-4.27,-13.67,9.52
Guinea-Bissau,AFRO,15.7,-4.27,-15.62,11.89
Malawi,AFRO,15.7,-4.27,33.77,-13.99
Mali,AFRO,15.7,-4.27,-8,12.64
Mauritania,AFRO,15.7,-4.27,-15.95,18.06
Mozambique,AFRO,15.7,-4.27,32.63,-25.98
Sao Tome and Principe,AFRO,15.7,-4.27,6.75,0.35
Senegal,AFRO,15.7,-4.27,-17.45,14.7
Seychelles,AFRO,15.7,-4.27,55.42,-4.66
Togo,AFRO,15.7,-4.27,1.24,6.15
United Republic of Tanzania,AFRO,15.7,-4.27,35.75,-6.16
Zambia,AFRO,15.7,-4.27,28.31,-15.4
Zimbabwe,AFRO,15.7,-4.27,31.03,-17.8
