name,Mname,Region,lng,lat,country,date,Ffollowers,Fadius,posts
阿尔及利亚,Algeria,AFRO,3.08,36.71,1,2020/3/4,2.6,0.026,16
贝宁,Benin,AFRO,2.66,6.54,1,2020/7/10,4.1,0.041,17
博茨瓦纳,Botswana,AFRO,26.03,-24.69,1,2020/12/16,3.1,0.031,18
布基纳法索,Burkina Faso,AFRO,-1.53,12.37,1,2020/5/13,4,0.04,19
佛得角,Cabo Verde,AFRO,-23.54,14.95,1,2016/2/1,4.6,0.046,16
喀麦隆,Cameroon,AFRO,11.55,3.89,1,2018/4/9,32,0.32,17
中非共和国,Central African Republic,AFRO,18.56,4.37,1,2021/7/19,0.1,0.001,18
乍得,Chad,AFRO,15.08,12.17,1,2022/1/26,3.8,0.038,19
科摩罗,Comoros,AFRO,43.31,-11.75,1,2020/5/6,3.2,0.032,16
刚果,Congo,AFRO,15.2,-4.24,1,2017/6/12,39,0.39,17
刚果民主共和国,Democratic Republic of the Congo,AFRO,15.31,-4.43,1,2020/10/7,9.4,0.094,18
埃塞俄比亚,Ethiopia,AFRO,38.74,9.02,1,2014/11/3,195,1.95,19
加蓬,Gabon,AFRO,9.55,0.4,1,2019/3/14,14,0.14,16
加纳,Ghana,AFRO,-0.2,5.53,1,2014/7/18,162,1.62,17
几内亚,Guinea,AFRO,-13.67,9.52,1,2020/4/24,4.1,0.041,18
几内亚比绍,Guinea-Bissau,AFRO,-15.62,11.89,1,2020/4/14,2.7,0.027,19
肯尼亚,Kenya,AFRO,36.82,-1.28,1,2020/8/18,1,0.01,16
马达加斯加,Madagascar,AFRO,47.53,-18.9,1,2016/5/4,156.3,1.563,17
马拉维,Malawi,AFRO,33.77,-13.99,1,2015/10/12,52,0.52,18
马里,Mali,AFRO,-8,12.64,1,2016/11/11,6.8,0.068,19
毛里塔尼亚,Mauritania,AFRO,-15.95,18.06,1,2019/6/12,31.9,0.319,16
莫桑比克,Mozambique,AFRO,32.63,-25.98,1,2018/6/7,68,0.68,17
纳米比亚,Namibia,AFRO,17.05,-22.61,1,2014/4/30,57,0.57,18
尼日尔,Niger,AFRO,2.11,13.52,1,2013/5/2,17.5,0.175,19
尼日利亚,Nigeria,AFRO,7.17,9.21,1,2017/3/29,658.7,6.587,16
卢旺达,Rwanda,AFRO,30.09,-1.96,1,2014/5/19,34.1,0.341,17
圣多美和普林西比,Sao Tome and Principe,AFRO,6.75,0.35,1,2020/6/2,2.8,0.028,18
塞内加尔,Senegal,AFRO,-17.45,14.7,1,2020/4/9,2,0.02,19
塞舌尔,Seychelles,AFRO,55.42,-4.66,1,2016/3/22,5.1,0.051,16
塞拉利昂,Sierra Leone,AFRO,-13.2,8.44,1,2015/6/11,36,0.36,17
南苏丹,South Sudan,AFRO,31.62,4.84,1,2011/12/20,4.9,0.049,18
多哥,Togo,AFRO,1.24,6.15,1,2019/2/11,24,0.24,19
乌干达,Uganda,AFRO,32.6,0.32,1,2014/7/1,79,0.79,16
坦桑尼亚联合共和国,United Republic of Tanzania,AFRO,35.75,-6.16,1,2020/8/18,0.4,0.004,17
赞比亚,Zambia,AFRO,28.31,-15.4,1,2020/10/5,3.1,0.031,18
津巴布韦,Zimbabwe,AFRO,31.03,-17.8,1,2020/9/4,1.7,0.017,19
蒙古,Mongolia,WPRO,106.95,48.03,1,2014/7/25,57,0.57,26
巴布亚新几内亚,Papua New Guinea,WPRO,147.2,-9.45,1,2015/4/9,69,0.69,27
菲律宾,Philippines,WPRO,120.98,14.59,1,2013/11/26,1776,17.76,28
所罗门群岛,Solomon Islands,WPRO,159.98,-9.53,1,2020/3/7,10.8,0.108,29
越南,Viet Nam,WPRO,105.8,21.01,1,2015/10/15,313,3.13,26
孟加拉国,Bangladesh,SEARO,90.44,23.8,1,2020/3/18,28,0.28,21
不丹,Bhutan,SEARO,89.54,27.48,1,2017/5/26,13.5,0.135,22
马尔代夫,Maldives,SEARO,73.46,4.14,1,2018/2/8,1.7,0.017,23
缅甸,Myanmar,SEARO,96.1,19.75,1,2019/5/21,65.6,0.656,24
尼泊尔,Nepal,SEARO,85.33,27.71,1,2020/4/20,129.9,1.299,23
斯里兰卡,Sri Lanka,SEARO,79.84,6.93,1,2018/1/10,48,0.48,24
泰国,Thailand,SEARO,100.58,13.72,1,2011/12/20,86,0.86,22
东帝汶,Timor-Leste,SEARO,125.6,-8.65,1,2017/11/16,220.5,2.205,23
阿根廷,Argentina,AMRO,-58.38,-34.6,1,2011/5/5,494.9,4.949,1
玻利维亚（多民族国）,Bolivia (Plurinational State of),AMRO,-68.13,-16.48,1,2010/1/28,98,0.98,2
巴西,Brazil,AMRO,-47.93,-15.78,1,2013/5/10,1000,10,3
智利,Chile,AMRO,-70.59,-33.4,1,2011/3/31,214.2,2.142,4
哥伦比亚,Colombia,AMRO,-74.09,4.58,1,2010/2/13,318,3.18,5
哥斯达黎加,Costa Rica,AMRO,-84.04,9.99,1,2016/4/24,60.8,0.608,1
古巴,Cuba,AMRO,-82.35,23.05,1,2014/6/12,15.6,0.156,2
厄瓜多尔,Ecuador,AMRO,-78.54,-0.21,1,2012/5/18,117.9,1.179,3
萨尔瓦多,El Salvador,AMRO,-89.24,13.67,1,2013/3/11,112.7,1.127,4
危地马拉,Guatemala,AMRO,-90.55,14.62,1,2011/9/6,165.1,1.651,5
海地,Haiti,AMRO,-72.28,18.52,1,2013/6/7,5.5,0.055,1
墨西哥,Mexico,AMRO,-99.17,19.41,1,2017/4/21,133,1.33,2
尼加拉瓜,Nicaragua,AMRO,-86.27,12.13,1,2014/12/15,103.7,1.037,3
巴拿马,Panama,AMRO,-79.44,9.06,1,2013/9/25,4.8,0.048,4
巴拉圭,Paraguay,AMRO,-57.51,-25.28,1,2011/4/20,128.3,1.283,5
秘鲁,Peru,AMRO,-77.01,-12.07,1,2010/5/6,342,3.42,5
乌拉圭,Uruguay,AMRO,-56.26,-34.89,1,2011/4/27,49,0.49,1
加勒比海国家,Barbados and the Eastern Caribbean Countries,AMRO,-59.58,13.11,1,2010/10/15,32,0.32,1
亚美尼亚,Armenia,EURO,44.47,40.18,1,2016/12/6,8.2,0.082,6
阿塞拜疆,Azerbaijan,EURO,49.95,40.41,1,2018/9/7,7.9,0.079,7
波斯尼亚和黑塞哥维那,Bosnia and Herzegovina,EURO,18.5,43.83,1,2016/1/29,13,0.13,8
格鲁吉亚,Georgia,EURO,44.8,41.68,1,2020/12/11,6.8,0.068,9
匈牙利,Hungary(欧盟国家）,EURO,19.14,47.45,1,2011/11/21,7.4,0.074,10
哈萨克斯坦,Kazakhstan,EURO,71.34,51.17,1,2020/2/6,1.6,0.016,6
