words,count
@DrTedros,151
China,73
expert,70
deaths,60
Africa,57
west,51
lab,50
human,46
experts,44
IHR,44
information,44
situation,43
trade,41
available,39
current,35
Sierraleone,38
via,35
continue,34
person,34
measures,33
Wuhan,32
ongoing,30
blood,29
secretions,27
bodily,26
restrictions,26
guidance,25
onset,24
patient,24
advisory,23
event,23
authorities,22
far,22
2019nCoV,22
contacts,21
interim,21
needed,21
recommend,21
spreads,21
border,20
Canada,20
lives,20
local,20
months,20
number,20
pain,20
preparedness,20
security,20
equipment,19
report,19
acute,18
Butembo,18
challenges,18
due,18
Dr Fukuda,18
get,18
organs,18
outside,18
period,18
PHEIC,18
safety,18
@pahowho,18
@who,18
met,17
muscle,17
#nomorePolio,17
respect,17
total,17
body,16
foods,16
immediately,16
technical,16
thanks,16
vaccinated,16
activities,15
applied,15
attacks,15
bats,15
better,15
fruit,15
government,15
incubation,15
intense,15
list,15
member,15
panel,15
@HaertlG,15
temporary,15
Uganda,15
yes,15
centres,14
commitment,14
ending,14
level,14
monkeys,14
news,14
replying,14
respond,14
responders,14
save,14
share,14
@UN,14
sudden,14
suspect,14
taken,14
tests,14
together,14
headache,13
identified,13
june,13
neighbouring,13
samples,13
@UNGeneva,13
sore,13
throat,13
visibly,13
cough,12
critical,12
despite,12
detected,12
diseases,12
frequently,12
identify,12
just,12
lassa,12
likely,12
marburg,12
political,12
probable,12
provide,12
reports,12
review,12
richard,12
screening,12
session,12
@MinSanteRDC,12
states,12
tweet,12
weakness,12
2013,11
advisers,11
around,11
caused,11
Chinese,11
continuing,11
detect,11
Diarrhoea,11
forest,11
handrub,11
investigations,11
north,11
particularly,11
parties,11
place,11
please,11
quickly,11
rash,11
required,11
@phac_gc,11
testing,11
travellers,11
april,10
aylward,10
borders,10
change,10
confirmation,10
containment,10
continues,10
dangerous,10
dead,10
especially,10
field,10
found,10
investigated,10
microcephaly,10
precautions,10
prepared,10
protective,10
recent,10
remains,10
signs,10
teams,10
updates,10
website,10
winnipeg,10
address,9
although,9
bring,9
ever,9
experience,9
face,9
goma,9
isolated,9
middle,9
moment,9
mosquito,9
mouzoko,9
needs,9
panels,9
particular,9
personal,9
potential,9
recently,9
reconvene,9
requires,9
serious,9
source,9
syndrome,9
tweets,9
un,9
vaccines,9
views,9
yet,9
zaire,9
able,8
agreed,8
appointed,8
assessment,8
aware,8
clear,8
closely,8
confirm,8
established,8
experiencing,8
gloves,8
going,8
hi,8
history,8
info,8
intensive,8
interference,8
interval,8
leadership,8
link,8
mourners,8
necessary,8
question,8
rapidly,8
require,8
role,8
seconds,8
seen,8
sequencing,8
supplies,8
systems,8
trained,8
type,8
using,8
without,8
2018,7
actions,7
almost,7
americas,7
campaigns,7
ceremonies,7
cfr,7
changes,7
city,7
conducted,7
conflict,7
convened,7
crimean,7
cross,7
directly,7
done,7
entry,7
etienne,7
evolving,7
experimental,7
extremely,7
genetic,7
ground,7
group,7
guillain,7
increase,7
internal,7
involved,7
knowledge,7
line,7
malaria,7
measles,7
mers,7
mission,7
much,7
paralysis,7
plan,7
populations,7
practice,7
practices,7
preparation,7
previous,7
provinces,7
recover,7
result,7
risks,7
roster,7
safely,7
said,7
saskatchewan,7
scientific,7
semen,7
several,7
show,7
species,7
spreading,7
strain,7
strategic,7
strengthen,7
supporting,7
syriacrisis,7
thailand,7
tomorrow,7
topics,7
twitter,7
unknown,7
violence,7
vomiting,7
within,7
additional,6
airborne,6
aldighieri,6
apes,6
attack,6
august,6
begin,6
bites,6
bleeding,6
boards,6
brazil,6
breathing,6
causes,6
certification,6
committees,6
complex,6
conf,6
declared,6
des,6
difficulty,6
drug,6
drugs,6
espinal,6
essential,6
external,6
facilities,6
feel,6
figures,6
foodsafety,6
given,6
gmt,6
healthforall,6
hugonnet,6
include,6
informed,6
insecurity,6
investigational,6
katwa,6
knives,6
led,6
limited,6
loved,6
major,6
marcos,6
masks,6
mosquitoes,6
never,6
occur,6
ones,6
play,6
poultry,6
practise,6
progress,6
province,6
published,6
put,6
quality,6
rapid,6
recovery,6
religious,6
running,6
sars,6
seafood,6
shared,6
sharing,6
@ebolaalert,6
@magikald,6
@unocha,6
state,6
strongly,6
studies,6
termination,6
threat,6
transmit,6
transmitted,6
varies,6
vax,6
visited,6
aedes,5
airports,5
another,5
audio,5
basis,5
beijing,5
board,5
bodies,5
burials,5
call,5
capacity,5
cchf,5
centers,5
cet,5
chosen,5
circulating,5
cleanser,5
cluster,5
come,5
concerns,5
consider,5
decision,5
declaring,5
dengue,5
details,5
detection,5
determination,5
different,5
difficult,5
efficacy,5
epidemiological,5
exposed,5
facing,5
file,5
final,5
flaccid,5
front,5
funding,5
geographic,5
globally,5
gowns,5
handled,5
happening,5
healthworkers,5
hosts,5
immediate,5
immunity,5
impact,5
increased,5
inform,5
initiative,5
issued,5
japan,5
killed,5
languages,5
levels,5
main,5
mask,5
men,5
minister,5
mistrust,5
natl,5
october,5
offered,5
officials,5
ofinternational,5
priority,5
promptly,5
rate,5
reached,5
recommends,5
reconvened,5
refer,5
regular,5
related,5
reston,5
returned,5
rumors,5
sage,5
serve,5
serving,5
similar,5
@atjohnbutler,5
@paulspthomas,5
sobre,5
someone,5
soon,5
southeast,5
started,5
takes,5
temperature,5
thread,5
thru,5
touch,5
transport,5
twice,5
unnecessary,5
visiting,5
wear,5
yesterday,5
zebov,5
