  name,WHO_region,long,lat,start,end,cases  ,size
Argentina,AMRO,-58.38,-34.6,2022/5/27,2022/7/4,6,0.6
Australia,WPRO,149.08,-35.27,2022/5/20,2022/7/4,14,1.4
Austria,EURO,16.43,48.24,2022/5/23,2022/7/4,37,3.7
Bahamas,AMRO,-77.35,25.06,2022/6/30,2022/7/4,1,0.1
Belgium,EURO,4.47,50.82,2022/5/20,2022/7/4,117,11.7
Benin,AFRO,2.66,6.54,2022/6/22,2022/7/4,3,0.3
Brazil,AMRO,-47.93,-15.78,2022/6/9,2022/7/4,78,7.8
Bulgaria,EURO,23.34,42.66,2022/6/23,2022/7/4,3,0.3
Cameroon,AFRO,11.55,3.89,2022/6/15,2022/7/4,4,0.4
Canada,AMRO,-75.7,45.38,2022/5/19,2022/7/4,300,30
Central African Republic,AFRO,18.56,4.37,2022/6/15,2022/7/4,5,0.5
Chile,AMRO,-70.59,-33.4,2022/6/17,2022/7/4,8,0.8
Colombia,AMRO,-74.09,4.58,2022/6/24,2022/7/4,5,0.5
Congo,AFRO,15.2,-4.24,2022/6/15,2022/7/4,2,0.2
Croatia,EURO,15.98,45.81,2022/6/24,2022/7/4,1,0.1
Czech Republic,EURO,14.54,50.05,2022/5/24,2022/7/4,8,0.8
Democratic Republic of the Congo,AFRO,15.31,-4.43,2022/6/15,2022/7/4,78,7.8
Denmark,EURO,12.53,55.68,2022/5/23,2022/7/4,20,2
Estonia,EURO,24.75,59.43,2022/6/28,2022/7/4,1,0.1
Finland,EURO,24.92,60.2,2022/5/25,2022/7/4,4,0.4
France,EURO,2.48,48.81,2022/5/20,2022/7/4,498,49.8
Georgia,EURO,44.8,41.68,2022/6/15,2022/7/4,1,0.1
Germany,EURO,13.62,52.47,2022/5/20,2022/7/4,1054,105.4
Ghana,AFRO,-0.2,5.53,2022/6/15,2022/7/4,19,1.9
Greece,EURO,23.69,37.99,2022/6/8,2022/7/4,6,0.6
Hungary,EURO,19.14,47.45,2022/5/31,2022/7/4,19,1.9
Iceland,EURO,-21.88,64.08,2022/6/9,2022/7/4,4,0.4
Ireland,EURO,-6.21,53.44,2022/5/28,2022/7/4,39,3.9
Israel,EURO,34.78,31.23,2022/5/21,2022/7/4,38,3.8
Italy,EURO,12.48,41.9,2022/5/19,2022/7/4,192,19.2
Latvia,EURO,24,56.99,2022/6/3,2022/7/4,2,0.2
Lebanon,EMRO,35.52,33.8,2022/6/20,2022/7/4,1,0.1
Luxembourg,EURO,6.14,49.59,2022/6/16,2022/7/4,5,0.5
Malta,EURO,14.5,35.92,2022/5/28,2022/7/4,6,0.6
Mexico,AMRO,-99.17,19.41,2022/5/28,2022/7/4,27,2.7
Morocco,EMRO,-6.86,33.95,2022/6/2,2022/7/4,1,0.1
Netherlands,EURO,4.89,52.41,2022/5/20,2022/7/4,257,25.7
Nigeria,AFRO,7.17,9.21,2022/6/15,2022/7/4,63,6.3
Norway,EURO,10.84,59.91,2022/5/31,2022/7/4,15,1.5
Peru,AMRO,-77.01,-12.07,2022/6/27,2022/7/4,15,1.5
Poland,EURO,21.08,52.28,2022/6/9,2022/7/4,12,1.2
Portugal,EURO,-9.13,38.73,2022/5/18,2022/7/4,402,40.2
Romania,EURO,26.11,44.46,2022/6/13,2022/7/4,11,1.1
Serbia,EURO,20.54,44.72,2022/6/15,2022/7/4,1,0.1
Slovenia,EURO,14.55,46.05,2022/5/24,2022/7/4,9,0.9
South Africa,AFRO,28.25,-25.72,2022/6/23,2022/7/4,2,0.2
Spain,EURO,-3.68,40.45,2022/5/19,2022/7/4,802,80.2
Sweden,EURO,18.06,59.33,2022/5/20,2022/7/4,28,2.8
Switzerland,EURO,7.48,46.92,2022/5/27,2022/7/4,91,9.1
the United Kingdom,EURO,-0.13,51.58,2022/5/13,2022/7/4,1236,123.6
Turkey,EURO,32.79,39.91,2022/6/30,2022/7/4,1,0.1
United Arab Emirates,EMRO,54.39,24.44,2022/5/29,2022/7/4,13,1.3
United States of America,AMRO,-76.91,38.82,2022/5/18,2022/7/4,461,46.1
Venezuela (Bolivarian Republic of),AMRO,-66.9,10.47,2022/6/12,2022/7/4,1,0.1
China,WPRO,116.33,39.92,2022/6/24,2022/7/4,1,0.1
Republic of Korea,WPRO,126.93,37.54,2022/6/22,2022/7/4,1,0.1
Singapore,WPRO,103.86,1.29,2022/6/21,2022/7/4,1,0.1
